序号,项目名称,项目地点1,项目地点,造价,建设内容,未挂上
341,"WJ-J-2020-015号地块商住项目-1#,2#,3#,4#,5#,6#,7#,8#,9#,10#,11#,12#,13#,1#配电间,2#配电房,垃圾房,门卫,地下车库",苏州市吴江区汾湖高新区（黎里镇）光明北地块，东至西湾河，南至越秀路，西至空地，北至西湾河,苏州市苏州市吴江区汾湖高新区（黎里镇）光明北地块，东至西湾河，南至越秀路，西至空地，北至西湾河,49805.49,房屋建筑,
342,汾湖北窑港西地块公寓房工程,吴江区汾湖北窑港西侧、越江路南侧、新友农贸市场东侧,苏州市吴江区汾湖北窑港西侧、越江路南侧、新友农贸市场东侧,18373.67,房屋建筑,
343,"年彩印包装铁皮6万吨-1#甲类仓库,2#地下消防泵房水池,3#印刷车间,5#配料车间",苏州市吴江区平望镇中鲈科技园,苏州市苏州市吴江区平望镇中鲈科技园,1100,房屋建筑,
344,嘉乐城生活广场A2地块工程,吴江区汾湖镇北京路以北，甘溪路以东，洋沙路以西,苏州市吴江区汾湖镇北京路以北，甘溪路以东，洋沙路以西,69235,房屋建筑,
345,5#宿舍食堂,苏州市吴江区黎里镇汾杨路313号,苏州市苏州市吴江区黎里镇汾杨路313号,1300,房屋建筑,
346,WJ-J-2020-010地块住宅项目二期,苏州吴江区平望镇平梅支路南侧平西路东侧,苏州市苏州吴江区平望镇平梅支路南侧平西路东侧,23057.38,房屋建筑,
347,新建物流仓储用房（16#冷库）,吴江区平望镇中鲈工业集中区,苏州市吴江区平望镇中鲈工业集中区,3319,房屋建筑,
348,"WJ-J-2019-024、WJ-J-2019-025地块住宅项目-22#楼,23#楼,27#楼,30#楼,31#楼,34#楼,39#楼,43#楼,S4#楼,S5#楼,S6#楼,地下汽车库(1-1)",吴江汾湖高新技术区洋砂荡东,苏州市吴江汾湖高新技术区洋砂荡东,14758.4,房屋建筑,
349,吴江汾湖WJ-J-2019-024、WJ-J-2019-025地块住宅项目(37#、38#、40#、41#、42#楼）,江苏省苏州市吴江区,苏州市江苏省苏州市吴江区,28183.88,房屋建筑,
350,WJ-J-2020-010号地块项目一期（配套用房17#）,苏州吴江区平望镇平梅支路南侧平西路东侧,苏州市苏州吴江区平望镇平梅支路南侧平西路东侧,419.3,房屋建筑,
351,新建3#车间,吴江区平望镇梅堰联合村,苏州市吴江区平望镇梅堰联合村,2125,房屋建筑,
352,年充装392.2万瓶工业气体项目一期,苏州市吴江区黎里镇芦墟越秀路北侧,苏州市苏州市吴江区黎里镇芦墟越秀路北侧,2950,房屋建筑,
353,"汾湖经济开发区南京路南侧商业用房项目-1#,2#,3#,4#,5#,地下室",苏州市吴江区南京路369号南侧,苏州市苏州市吴江区南京路369号南侧,8650,房屋建筑,
354,"年产喷气织物1200万米、针织物600吨项目-车间一,车间二,泵房水池",吴江区平望镇梅堰社区双浜村,苏州市吴江区平望镇梅堰社区双浜村,328,房屋建筑,
355,嘉乐城生活广场A5地块工程,汾湖北京路以北，浙江路以东,苏州市汾湖北京路以北，浙江路以东,24499.29,房屋建筑,
356,"年加工纸管1.5万吨生产线技术改造项目-生产车间一,生产车间二,地下泵房",吴江区平望镇梅堰龙南村,苏州市吴江区平望镇梅堰龙南村,1150,房屋建筑,
357,中国移动（苏州）数据机房项目二期工程总承包,吴江区双珠荡以东，新黎路以北,苏州市吴江区双珠荡以东，新黎路以北,28479.49,房屋建筑,
358,"苏州华锐双语学校-1#高中综合楼,2#高中宿舍、餐厅,3#门卫1,4#垃圾房",吴江区汾湖开发区新友路以西、新黎路以北,苏州市吴江区汾湖开发区新友路以西、新黎路以北,25800,房屋建筑,
359,汾湖科技创业园人才公寓装饰工程,吴江区黎里镇汾湖大道558号,苏州市吴江区黎里镇汾湖大道558号,3368.71,装饰装修,
360,年产500万双高档鞋类及鞋材项目-厂房及辅房（2#厂房）,江苏省苏州市吴江区黎里镇临沪大道2222号,苏州市江苏省苏州市吴江区黎里镇临沪大道2222号,3800,房屋建筑,
361,"新建辅房18000平方米项目-生活楼二,接建门楼",吴江区平望镇梅堰工业集中区,苏州市吴江区平望镇梅堰工业集中区,3974.3,房屋建筑,
362,聚酯切片固相聚合技术改造项目-聚酯切片固相聚合技术改造项目,江苏省苏州市吴江区平望镇梅堰工业集中区,苏州市江苏省苏州市吴江区平望镇梅堰工业集中区,626.46,房屋建筑,
364,年产全自动光学影像全检设备600台、全自动包装设备200台-生产车间,江苏省苏州市吴江区,苏州市江苏省苏州市吴江区,2200,房屋建筑,
365,年加工机械零件8000吨项目,吴江区平望镇,苏州市吴江区平望镇,6239.93,房屋建筑,
366,苏州中鲈国际物流科技园公共租赁住房及商业中心二期工程,吴江区平望镇中鲈开发区,苏州市吴江区平望镇中鲈开发区,8424.19,房屋建筑,
367,"汾湖高新技术产业开发区新友花苑二期南地块工程-6#,8#,9#,11#,12#,配电房,门卫1,2#汽车库",吴江区黎里镇临沪大道南侧，蛇泽路南侧，西秀路西侧,苏州市吴江区黎里镇临沪大道南侧，蛇泽路南侧，西秀路西侧,20253.8,房屋建筑,
368,苏州中鲈国际物流科技园公共租赁住房三期,吴江区平望镇中鲈开发区,苏州市吴江区平望镇中鲈开发区,3678.83,房屋建筑,
369,金家坝红旗公寓房工程,吴江区黎里镇金家坝金鼎西路,苏州市吴江区黎里镇金家坝金鼎西路,6896.98,房屋建筑,
371,"汾湖高新技术产业开发区新友花苑二期南地块工程-4#,5#,7#,10#,1#汽车库,养老用房,养老用房",吴江区黎里镇临沪大道南侧、蛇泽路南侧、西秀路西侧,苏州市吴江区黎里镇临沪大道南侧、蛇泽路南侧、西秀路西侧,17262.01,房屋建筑,
372,"汾湖高新技术产业开发区新友花苑二期南地块工程-1#,2#,3#,配套用房",吴江区黎里镇临沪大道南侧、蛇泽路南侧、西秀路西侧,苏州市吴江区黎里镇临沪大道南侧、蛇泽路南侧、西秀路西侧,9323.71,房屋建筑,
373,"新建仓库及辅房项目-仓库1,仓库2,门卫1,门卫2,自行车棚1,自行车棚2,设备用房,坡道1,坡道2,行车平台",吴江区平望镇中鲈科技园内,苏州市吴江区平望镇中鲈科技园内,22127,房屋建筑,
374,"新友花苑二期北地块工程一标段,1#楼,2#楼,3#楼,10#楼,11#楼,12#楼,门卫2",吴江区黎里镇临沪大道南侧，蛇泽路北侧，西秀路西侧,苏州市吴江区黎里镇临沪大道南侧，蛇泽路北侧，西秀路西侧,15591.76,房屋建筑,
375,"WJ-J-2013-022地块住宅项目-01#住宅楼,02#住宅楼,03#住宅楼,04#住宅楼,05#住宅楼（东侧）,05#住宅楼（西楼）,06#住宅楼,07#住宅楼（东楼）,07#住宅楼（西楼）,0",吴江区汾湖高新区浦港路以东、东姑荡以北,苏州市吴江区汾湖高新区浦港路以东、东姑荡以北,43814,房屋建筑,
377,新建科研大楼,吴江区黎里镇汾湖大道558号,苏州市吴江区黎里镇汾湖大道558号,3225.88,房屋建筑,
378,黎里黎花公寓房工程,吴江区黎里镇黎花村,苏州市吴江区黎里镇黎花村,5473.1,房屋建筑,
380,爱慕华东运营中心,苏州市吴江区黎里镇芦莘大道以东常州路以北,苏州市苏州市吴江区黎里镇芦莘大道以东常州路以北,13692.95,房屋建筑,
381,豪门府邸二期M区1-9#楼、S1、S2、社区用房及开关站、地下车库,吴江区平望镇下沙荡小区1号、2号地块,苏州市吴江区平望镇下沙荡小区1号、2号地块,18655.88,房屋建筑,
382,"苏州市汾湖城乡一体化——汾湖人家5号地块安置公寓房项目-14#住宅,15#住宅",吴江区黎里镇韩棚路以南、思忠路以东,苏州市吴江区黎里镇韩棚路以南、思忠路以东,6155.41,房屋建筑,
383,"苏州市汾湖城乡一体化——汾湖人家5号地块安置公寓房项目-1#住宅,2#住宅,2#门卫",吴江区黎里镇韩棚路以南、思忠路以东,苏州市吴江区黎里镇韩棚路以南、思忠路以东,3671.83,房屋建筑,
384,2021年震泽镇农村生活污水治理工程二标段,吴江区震泽镇,苏州市吴江区震泽镇,2585.01,市政工程,
385,长三角生态绿色一体化发展示范区先行启动区-吴江黎里镇污水处理提质增效工程（FH-20-08 区块）,江苏省汾湖高新区,苏州市江苏省汾湖高新区,1885,市政工程,
386,2021年震泽镇农村生活污水治理工程一标段,吴江区震泽镇,苏州市吴江区震泽镇,1601.18,市政工程,
387,八坼街道2021年双联村、直港村农村污水治理工程,吴江八坼,苏州市吴江八坼,459.35,市政工程,
388,震泽镇锦泽华府、锦泽街及周边、木祥小区雨污分流改造工程,吴江区震泽镇,苏州市吴江区震泽镇,2029.91,市政工程,
389,西湖花苑三区、五区老旧小区改造工程,吴江经济技术开发区西湖花苑,苏州市吴江经济技术开发区西湖花苑,1388.18,市政工程,
390,西湖花苑四区老旧小区改造工程,吴江经济技术开发区西湖花苑,苏州市吴江经济技术开发区西湖花苑,2142.46,市政工程,
391,朱家浜老旧小区改造工程,吴江经济技术开发区同里镇朱家浜小区,苏州市吴江经济技术开发区同里镇朱家浜小区,2769.43,市政工程,
392,山湖社区一区、老二区老旧小区改造工程,吴江经济技术开发区,苏州市吴江经济技术开发区,489.28,市政工程,
393,浩浪小区老旧小区改造工程,吴江经济技术开发区同里镇浩浪小区,苏州市吴江经济技术开发区同里镇浩浪小区,2898.07,市政工程,
394,运河中路支路（庞山路-东太湖大道）工程-运河中路支路（庞山路-东太湖大道）工程,吴江经济技术开发区,苏州市吴江经济技术开发区,1508.66,市政工程,
395,苏州市吴江横扇生活污水处理厂提标改造工程,横扇四都村,苏州市横扇四都村,975.24,主体,
396,花港新建路网工程项目二标段（湖滨北路）,吴江经济技术开发区,苏州市吴江经济技术开发区,3702.27,市政工程,
397,西湖花苑一区、二区老旧小区综合改造工程-西湖花苑一区、二区老旧小区综合改造工程,吴江开发区西湖花苑一区、二区,苏州市吴江开发区西湖花苑一区、二区,1508.97,市政工程,
398,长三角生态绿色一体化发展示范先行启动区-吴江区黎里镇污水处理提质增效工程（湖北路等污水管网工程）,吴江市汾湖高新区区域内,苏州市吴江市汾湖高新区区域内,1209.69,市政工程,
399,长板路及周边道路路面、管道修复工程,吴江经济技术开发区,苏州市吴江经济技术开发区,2936.4,市政工程,
400,建设云梨路综合改造工程-云梨路综合改造工程,吴江经济技术开发区,苏州市吴江经济技术开发区,78324.56,市政工程,
401,吴江区太湖新城北片区综合管廊工程-吴江区太湖新城北片区综合管廊工程4标,吴江区太湖新城,苏州市吴江区太湖新城,17366.41,市政工程,
402,2020年度桃源镇雨污分流改造工程-2020 年度桃源镇雨污分流改造工程-青云片区等,吴江区桃源镇,苏州市吴江区桃源镇,1245,市政工程,
404,山湖花园九区动迁安置房项目-山湖花园九区动迁安置房海绵措施虹吸排水系统工程,吴江经济技术开发区,苏州市吴江经济技术开发区,502.07,市政工程,
405,平望镇老农贸市场周边雨污分流综合改造工程,平望镇老农贸市场,苏州市平望镇老农贸市场,81.42,市政工程,
406,平望镇云景台北侧地块雨污分流综合改造工程-平望镇云景台北侧地块雨污分流综合改造工程,吴江区平望镇,苏州市吴江区平望镇,124.97,市政工程,
407,平望镇西浜小区雨污分流综合改造工程-平望镇西浜小区雨污分流综合改造工程,苏州市吴江区平望镇,苏州市苏州市吴江区平望镇,166.13,市政工程,
408,七都镇2020年农村生活污水治理工程（东庙桥村）,吴江区七都镇,苏州市吴江区七都镇,1246.36,市政工程,
409,七都镇2020年农村生活污水治理工程（吴越村东片区）,吴江区七都镇吴越村,苏州市吴江区七都镇吴越村,1070.19,市政工程,
410,七都镇 2020 年农村生活污水治理工程（吴越村西片区）,吴江区七都镇吴越村,苏州市吴江区七都镇吴越村,1041.64,市政工程,
411,平望镇运河西侧小区雨污分流综合改造工程-平望镇运河西侧小区雨污分流综合改造工程,吴江区平望镇运河西侧,苏州市吴江区平望镇运河西侧,292.42,市政工程,
412,2020年平望镇农村生活污水治理及配套工程一期项目,吴江区平望镇,苏州市吴江区平望镇,6923.89,市政工程,
413,长三角生态绿色一体化发展示范先行启动区-吴江区黎里镇污水处理提质增效工程-芦墟片区168区块,吴江区黎里镇,苏州市吴江区黎里镇,594.12,市政工程,
414,长三角生态绿色一体化发展示范先行启动区-吴江区黎里镇污水处理提质增效工程-芦墟片区164区块（浦南路以西）,吴江区黎里镇,苏州市吴江区黎里镇,1137.39,市政工程,
415,平望镇双龙路两侧雨污分流综合改造工程,苏州市吴江区平望镇,苏州市苏州市吴江区平望镇,2039.97,市政工程,
416,长三角生态绿色一体化发展示范先行启动区-吴江区黎里镇污水处理提质增效工程-FH-01-08区块,吴江汾湖高新区,苏州市吴江汾湖高新区,425.63,市政工程,
417,平望镇新诚社区居委会周边雨污分流综合改造工程-平望镇新诚社区居委会周边雨污分流综合改造工程,吴江区平望镇新诚社区周边,苏州市吴江区平望镇新诚社区周边,1250.31,市政工程,
418,平望镇溪河弄周边雨污分流综合改造工程,吴江区平望镇,苏州市吴江区平望镇,279.56,市政工程,
419,平望镇龙庭花园、育龙庄园雨污分流综合改造工程-平望镇龙庭花园、育龙庄园雨污分流综合改造工程,苏州市吴江区平望镇龙庭花园、育龙庄园,苏州市苏州市吴江区平望镇龙庭花园、育龙庄园,248.2,市政工程,
420,八坼街道2020年新营村、直港村、练聚村农村污水治理工程-八坼街道2020年新营村、直港村、练聚村农村污水治理工程,吴江区八坼街道新营村、直港村、练聚村,苏州市吴江区八坼街道新营村、直港村、练聚村,621.51,市政工程,
421,长三角生态绿色一体化发展示范先行启动区-吴江区黎里镇污 水处理提质增效工程-芦墟片区 163（浦南路以西）区块,吴江区黎里镇,苏州市吴江区黎里镇,925.7,市政工程,
422,2020年平望镇农村生活污水治理及配套工程二期项目,平望镇新南村、三官桥村、联合村,苏州市平望镇新南村、三官桥村、联合村,6613.04,市政工程,
423,平望镇益丰新村及周边雨污分流综合改造工程,平望镇益丰新村及周边,苏州市平望镇益丰新村及周边,1151,市政工程,
424,长三角生态绿色一体化发展示范先行启动区- 吴江区黎里镇污水处理提质增效工程- 芦墟片区161区块,吴江黎里镇,苏州市吴江黎里镇,1495,市政工程,
425,平望镇平西新村及周边雨污分流综合改造工程-平望镇平西新村及周边雨污分流综合改造工程,吴江区平望镇平西新村及周边,苏州市吴江区平望镇平西新村及周边,1237.13,市政工程,
426,长三角生态绿色一体化发展示范先行启动区-吴江区黎里镇污水处理提质增效工程-长三角生态绿色一体化发展示范先行启动区-吴江区黎里镇污水处理提质增效工程-芦墟片区167区块,吴江区黎里镇,苏州市吴江区黎里镇,760.89,市政工程,
427,四期扩建及升级提标改造工程-吴江经济技术开发区运东污水处理厂四期扩建工程,吴江区江兴东路858号,苏州市吴江区江兴东路858号,11620.89,市政工程,
428,2020年黎里镇排水达标区建设工程（芦墟片区-166号区块）,吴江汾湖高新区,苏州市吴江汾湖高新区,1138.51,市政工程,
429,2020 年黎里镇排水达标区建设工程（芦墟片区-165 号区块）,吴江汾湖高新区,苏州市吴江汾湖高新区,470.76,市政工程,
430,2020年黎里镇排水达标区建设工程-2020年黎里镇排水达标区建设工程（芦墟片区-159号区块）,吴江汾湖高新区,苏州市吴江汾湖高新区,761.73,市政工程,
431,2020年黎里镇排水达标区建设工程-2020年黎里镇排水达标区建设工程（芦墟片区-163号区块-浦南路以东）,吴江汾湖高新区,苏州市吴江汾湖高新区,826.06,市政工程,
432,2020年黎里镇排水达标区建设工程-2020年黎里镇排水达标区建设工程（芦墟片区-164号区块-浦南路以东）,吴江汾湖高新区,苏州市吴江汾湖高新区,1240.57,市政工程,
433,2020年黎里镇排水达标区建设工程（芦墟片区-162号区块）,吴江汾湖高新区,苏州市吴江汾湖高新区,1469.34,市政工程,
434,2020年黎里镇排水达标区建设工程（北厍片区-154区块）,吴江汾湖高新区,苏州市吴江汾湖高新区,1074.46,市政工程,
435,2020年运东部分污水改造工程-2020年运东部分污水改造工程-松厍公路支路污水管，罗里石桥污水管改造工程,吴江经济技术开发区,苏州市吴江经济技术开发区,462.59,市政工程,
436,震泽镇名人苑、富景苑及周边雨污分流改造工程,震泽镇名人苑、富景苑及周边,苏州市震泽镇名人苑、富景苑及周边,1567.88,市政工程,
437,吴江区太湖新城规八路【春熙街】（春桐街-体育路）道路工程-吴江区太湖新城规八路【春熙街】（春桐街-体育路）道路工程,吴江区太湖新城,苏州市吴江区太湖新城,1658.89,市政工程,
438,震泽镇凤凰花园及周边雨污分流改造工程,吴江区震泽镇凤凰花园及周边,苏州市吴江区震泽镇凤凰花园及周边,678.17,市政工程,
439,吴江区城南家园三期（东侧多层）室外附属配套工程,吴江区太湖新城,苏州市吴江区太湖新城,4384.48,市政工程,
440,2020年黎里镇排水达标区建设工程-2020年黎里镇排水达标区建设工程（芦墟片区-160号区块）,吴江汾湖高新区,苏州市吴江汾湖高新区,1454.04,市政工程,
441,规七路[周家荡路]（春桐街-冬梅街）道路工程,吴江区太湖新城,苏州市吴江区太湖新城,1926.01,市政工程,
442,2020年震泽镇新乐村、永乐村、蠡泽村、新幸村农村生活污水管道工程-2020 年震泽镇新乐村、永乐村、蠡泽村、新幸村农村生活污水管道工程,吴江区震泽镇新乐村、永乐村、蠡泽村、新幸村,苏州市吴江区震泽镇新乐村、永乐村、蠡泽村、新幸村,1357.99,市政工程,
443,吴江区2019-2020年高质量推进城乡生活污水治理工程（市政集团第一期）-吴江区 2019-2020 年高质量推进城乡生活污水治理工程（市政集团第一期）-商城路、罗北路,吴江区,苏州市吴江区,717.31,市政工程,
444,吴江区2019-2020年高质量推进城乡生活污水治理工程（市政集团第一期）-庙港庙街路、230省道、富太路,吴江区,苏州市吴江区,623.21,市政工程,
446,吴江区2019-2020年高质量推进城乡生活污水治理工程（市政集团第一期）-吴江区2019-2020年高质量推进城乡生活污水治理工程（市政集团第一期）-铜七公路、万宝路、元春路,苏州市吴江区七都镇,苏州市苏州市吴江区七都镇,716.33,主体,
447,吴江区2019-2020年高质量推进城乡生活污水治理工程（市政集团第一期）-庙震公路,吴江区七都镇,苏州市吴江区七都镇,614.03,市政工程,
448,吴江区2019-2020年高质量推进城乡生活污水治理工程（市政集团第一期）-震泽镇318国道,吴江区,苏州市吴江区,830.76,市政工程,
449,西联小区、渡江小区、吴新村雨污分流改造工程-西联小区雨污分流改造工程,吴江经济技术开发区,苏州市吴江经济技术开发区,971.96,市政工程,
450,吴江经济技术开发区运东污水处理厂升级提标改造工程,吴江区江兴东路858号,苏州市吴江区江兴东路858号,6101.64,市政工程,
451,吴江区平望镇百盛花园二期雨污分流综合改造工程-吴江区平望镇百盛花园二期雨污分流综合改造工程,吴江区平望镇百盛花园二期,苏州市吴江区平望镇百盛花园二期,519.38,市政工程,
452,鲈乡路新建工程初步设计及概算，吴江经济技术开发区九龙路（樟木河-江陵西路）改造工程-鲈乡路（柳胥路-联中路）路桥新建工程,吴江经济技术开发区,苏州市吴江经济技术开发区,32341.91,市政工程,
454,车间四、地下消防泵房,盛泽镇荷花村,苏州市盛泽镇荷花村,500,房屋建筑,
455,"2#宿舍楼,多层车间三",盛泽镇荷花村,苏州市盛泽镇荷花村,3344,房屋建筑,
456,新建厂房,盛泽镇黄家溪村,苏州市盛泽镇黄家溪村,3000,房屋建筑,
457,"7#车间,8#车间",吴江区盛泽镇坝里村,苏州市吴江区盛泽镇坝里村,2788.61,房屋建筑,
458,年产低弹丝（DTY）4100吨技术改造项目-2#厂房,苏州市吴江区盛泽镇大谢村18组,苏州市苏州市吴江区盛泽镇大谢村18组,1480,房屋建筑,
459,1#车间,吴江区盛泽镇胜超路与信达路交叉口,苏州市吴江区盛泽镇胜超路与信达路交叉口,4028.36,房屋建筑,
460,年产16升大功率柴油发动机齿轮50000台套项目-车间五,吴江区盛泽镇坛丘社区双熟村,苏州市吴江区盛泽镇坛丘社区双熟村,2300,房屋建筑,
461,内部装修,苏州市吴江区盛泽镇舜新南路112号,苏州市苏州市吴江区盛泽镇舜新南路112号,350,装饰装修,
462,内部装修,吴江区盛泽镇秋泽路988号苏杭之星花园3幢秋泽路960号、962号,苏州市吴江区盛泽镇秋泽路988号苏杭之星花园3幢秋泽路960号、962号,50,装饰装修,
463,1#厂房、3#厂房,吴江区盛泽镇坝里村,苏州市吴江区盛泽镇坝里村,2657.39,房屋建筑,
464,2#厂房,盛泽镇园区路,苏州市盛泽镇园区路,2278.27,房屋建筑,
465,"高新区（盛泽镇）东茂南侧商业地块商服项目-1#,3#,4#,5#,6#,地下建筑,2#",江苏省苏州市吴江区舜湖西路东茂南侧,苏州市江苏省苏州市吴江区舜湖西路东茂南侧,63000,房屋建筑,
466,邻水湾景苑(恒力集团三分厂西地块）(56#楼～61#楼、15#配电房、16#配电房、门卫1、地下车库),吴江区盛泽镇南麻社区盛南公路南北两侧,苏州市吴江区盛泽镇南麻社区盛南公路南北两侧,13800,房屋建筑,
467,"吴江岭郅智能制造及智慧供应链产业园项目-物流仓库1,物流仓库2,物流仓库3,物流仓库4,货物运输平台1,货物运输平台2,货物运输平台3,盘道1,盘道2,辅助用房1,辅助用房2,综合楼,门卫一,门卫二",吴江区盛泽镇大谢村,苏州市吴江区盛泽镇大谢村,71974.6,房屋建筑,
468,5#厂房,吴江区盛泽镇双熟村,苏州市吴江区盛泽镇双熟村,1896,房屋建筑,
469,年产麂皮绒600万米技改项目-1#厂房,吴江区盛泽镇南麻永平村,苏州市吴江区盛泽镇南麻永平村,679.99,房屋建筑,
470,"WJ-J-2020-030地块住宅项目-1#,2#,3#,4#,5#,P1#,P2#,K1、P3#,X1、L1、T1#,M1#,地下车库",吴江高新区（盛泽镇）万丽酒店东侧地块,苏州市吴江高新区（盛泽镇）万丽酒店东侧地块,20188.9,房屋建筑,
471,办公楼,吴江区盛泽镇南麻建中路43号,苏州市吴江区盛泽镇南麻建中路43号,530,房屋建筑,
472,3#厂房,吴江区盛泽镇大谢村,苏州市吴江区盛泽镇大谢村,1600,房屋建筑,
473,年加工绣花面料40万米、倍捻丝400吨技术改造项目-生产车间六,吴江区盛泽镇坝里村,苏州市吴江区盛泽镇坝里村,1786,房屋建筑,
474,1#车间、2#车间、地下消防水池及泵房,吴江区盛泽镇园区路,苏州市吴江区盛泽镇园区路,3691.36,房屋建筑,
475,新建多层厂房18000平方米-6#厂房,苏州市吴江区盛泽镇荷花村,苏州市苏州市吴江区盛泽镇荷花村,880,房屋建筑,
477,车间（三）,吴江区盛泽镇圣塘村,苏州市吴江区盛泽镇圣塘村,1446.28,房屋建筑,
478,2#厂房,吴江区盛泽镇坝里村,苏州市吴江区盛泽镇坝里村,4113,房屋建筑,
479,车间二,吴江区盛泽镇园区路3999号,苏州市吴江区盛泽镇园区路3999号,1080,房屋建筑,
480,盛泽镇龙桥新村四期安置房工程（1#住宅、2#住宅、3#住宅、8#门卫二、10#配电房二、12#地下室A）,吴江区盛泽镇西二环路东侧,苏州市吴江区盛泽镇西二环路东侧,9755.08,房屋建筑,
481,2#厂房,吴江区盛泽镇坝里村,苏州市吴江区盛泽镇坝里村,4558.39,房屋建筑,
482,年产针织布3600吨生产技术改造项目-8#车间,吴江区盛泽镇兴桥村,苏州市吴江区盛泽镇兴桥村,1580,房屋建筑,
483,国家先进功能纤维创新中心能力建设项目,吴江区盛泽镇庄平村,苏州市吴江区盛泽镇庄平村,18000,房屋建筑,
484,车间一、地下泵房及消防水池,盛泽镇北环路888号,苏州市盛泽镇北环路888号,1180,房屋建筑,
485,新建车间20000平方米项目-车间四,盛泽镇南麻织庄路569号,苏州市盛泽镇南麻织庄路569号,598.8,房屋建筑,
486,4#车间,盛泽镇北环路北侧（红安村）,苏州市盛泽镇北环路北侧（红安村）,1758,房屋建筑,
487,年产新型染整配套设备500台项目（车间八）,苏州市吴江区盛泽镇圣塘村,苏州市苏州市吴江区盛泽镇圣塘村,954.8,房屋建筑,
488,年产服装、服饰5000万套-4#厂房,苏州市吴江区盛泽镇南三环路2666号,苏州市苏州市吴江区盛泽镇南三环路2666号,2000,房屋建筑,
489,"盛泽镇龙桥新村四期安置房工程（4#住宅,5#住宅,6#住宅,7#门卫一兼消防控制室,9#配电房一,11#物业用房,12#地下室B）",吴江高新区（盛泽镇）龙桥新村地块,苏州市吴江高新区（盛泽镇）龙桥新村地块,13711.49,房屋建筑,
490,新建厂房75000平方米-1#车间,吴江盛泽镇大谢村32组,苏州市吴江盛泽镇大谢村32组,2127.15,房屋建筑,
491,吴江高新区（盛泽镇）潜龙渠北侧3#地块住宅、商服用房项目三期,苏州市吴江区盛泽镇东至田前荡，南至澜溪二路，西至潜龙渠北侧2号地块，北至田前荡,苏州市苏州市吴江区盛泽镇东至田前荡，南至澜溪二路，西至潜龙渠北侧2号地块，北至田前荡,58120.96,房屋建筑,
492,"车间二,配电房",苏州市吴江区盛泽镇圣塘村,苏州市苏州市吴江区盛泽镇圣塘村,1666,房屋建筑,
493,新建厂房及宿舍14500平方米项目（车间十三、车间十四）,盛泽镇工业开发区西二环路,苏州市盛泽镇工业开发区西二环路,1534.55,房屋建筑,
494,新建厂房-5#厂房,苏州吴江盛泽镇圣塘村,苏州市苏州吴江盛泽镇圣塘村,887.38,房屋建筑,
495,4#车间,盛泽镇大谢村,苏州市盛泽镇大谢村,5680,房屋建筑,
496,"新建新城实验小学（幼儿园）工程项目-B区行政楼,D区幼儿园,B区D区地下室,升旗台",吴江区盛泽镇绸都大道西侧,苏州市吴江区盛泽镇绸都大道西侧,16298.86,房屋建筑,
497,"新建新城实验小学（幼儿园）工程项目-A区教学楼,C区食堂报告厅",吴江区盛泽镇绸都大道西侧,苏州市吴江区盛泽镇绸都大道西侧,11100.14,房屋建筑,
498,车间三,吴江区盛泽镇南麻织庄路569号,苏州市吴江区盛泽镇南麻织庄路569号,1771.88,房屋建筑,
499,"年产经编布15000吨技术改造项目-3#厂房,4#厂房",盛泽镇永平村,苏州市盛泽镇永平村,2535.5,房屋建筑,
500,年产10万吨生物质纤维纺纱技术改造项目,苏州市吴江区盛泽镇园区路60号,苏州市苏州市吴江区盛泽镇园区路60号,4535,房屋建筑,
503,车间二,吴江区盛泽镇溪南村,苏州市吴江区盛泽镇溪南村,1600,房屋建筑,
504,新建车间,苏州市吴江区盛泽镇双熟村,苏州市苏州市吴江区盛泽镇双熟村,691,房屋建筑,
505,吴江瑞兴医院有限公司翻建综合医疗大楼项目施工总承包工程,苏州吴江区盛泽镇西二环路西侧医院地块,苏州市苏州吴江区盛泽镇西二环路西侧医院地块,5998,房屋建筑,
506,苏州德亚纺织有限公司北地块（邻水湾景苑四期）35#~49#楼、10#配电房、12#配电房、地下车库,苏州市吴江区盛泽镇织庄路1333号邻水湾景苑,苏州市苏州市吴江区盛泽镇织庄路1333号邻水湾景苑,34257.97,房屋建筑,
507,国家先进功能纤维创新中心能力建设项目-PTA库,苏州市盛泽镇庄平村,苏州市苏州市盛泽镇庄平村,328.31,房屋建筑,
508,吴江高新区（盛泽镇）潜龙渠北侧3#地块住宅、商服用房项目二期,苏州市吴江区盛泽镇东至田前荡，南至澜溪二路，西至潜龙渠北侧2号地块，北至田前荡,苏州市苏州市吴江区盛泽镇东至田前荡，南至澜溪二路，西至潜龙渠北侧2号地块，北至田前荡,31982.9,房屋建筑,
509,"建设盛泽镇区域性养老服务中心工程（1号护理院（住院病房楼）,2号老年公寓,3号护理院（住院病房楼）,4号配套用房）",盛泽镇西二环路敬老院内,苏州市盛泽镇西二环路敬老院内,17299.89,房屋建筑,
510,吴江盛泽2×100MW级燃机热电联产工程项目(标段一）,江苏省苏州市吴江区盛泽镇,苏州市江苏省苏州市吴江区盛泽镇,19481,房屋建筑,
511,吴江盛泽2×100MW级燃机热电联产工程项目（标段二）,苏州吴江区盛泽镇庄平村,苏州市苏州吴江区盛泽镇庄平村,4553.45,房屋建筑,
