序号,项目名称,项目地点1,项目地点,造价,建设内容,未挂上
147,桃源镇敬老院养老服务中心,吴江区桃源镇麻溪路165号,苏州市吴江区桃源镇麻溪路165号,2601.07,房屋建筑,
148,"福煜人家-18号楼,22号楼,生活水泵房-消防水泵房,门卫-监控室",苏州市吴江区桃源镇铜罗社区迎春路东、镇中路南,苏州市苏州市吴江区桃源镇铜罗社区迎春路东、镇中路南,3000,房屋建筑,
149,"新建厂房33000平方米（车间一,车间二,地下泵房）,车间二,地下泵房",江苏省苏州市吴江区桃源镇南和经济开发区,苏州市江苏省苏州市吴江区桃源镇南和经济开发区,4258,房屋建筑,
150,吴江区桃源镇WJ-J-2018-024地块商住项目3#楼,"吴江区桃源镇东至苏震桃公路,南至华天路,西至华盛大道,北至空地","苏州市吴江区桃源镇东至苏震桃公路,南至华天路,西至华盛大道,北至空地",191,房屋建筑,
151,新建厂区工程,吴江区七都镇七都大道北侧,苏州市吴江区七都镇七都大道北侧,2745.64,房屋建筑,
152,车间一,吴江区七都镇七都大道北侧,苏州市吴江区七都镇七都大道北侧,654.36,房屋建筑,
153,假捻丝、加弹丝技术改造项目,苏州市吴江区桃源镇富乡村,苏州市苏州市吴江区桃源镇富乡村,4051.16,房屋建筑,
154,新建车间9000平方米项目（拟建车间四）,吴江区七都镇心田湾,苏州市吴江区七都镇心田湾,698.47,房屋建筑,
155,万宝至马达（江苏）有限公司内部装修工程1#宿舍楼装修项目,苏州市吴江经济技术开发区柳胥路100号,苏州市苏州市吴江经济技术开发区柳胥路100号,2175,装饰装修,
156,"苏州长三角示范区产学研合作园（一期项目）-3#学院楼,4#学院楼,5#行政楼,6#食堂,7#体育馆,8#学生宿舍,9#学生宿舍,10#学生宿舍,11#学生宿舍,12#教师公寓,地下车库",吴江区 227 省道西侧、莘七公路北侧,苏州市吴江区 227 省道西侧、莘七公路北侧,71709,房屋建筑,
157,中山北路西侧江陵西路南侧地块（逸品阁二期）4#-8#楼、配电房、二期地下汽车库,吴江经济开发区中山北路西侧、江陵西路南侧,苏州市吴江经济开发区中山北路西侧、江陵西路南侧,21000,房屋建筑,
158,年产组装用铝合金防撞梁10万套及组装车用底盘护板10万套项目(新建车间(四)),吴江区七都镇港东开发区,苏州市吴江区七都镇港东开发区,778.87,房屋建筑,
